level1	 level2 	KOGid
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0421]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0422]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-protein ligase	[KOG0423]
Posttranslational modification, protein turnover, chaperones	Non-canonical ubiquitin conjugating enzyme 1	[KOG0428]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-conjugating enzyme-related protein Ft1, involved in programmed cell death	[KOG0429]
Defense mechanisms	HVA22/DP1 gene product-related proteins	[KOG1726]
General function prediction only	WW domain-containing protein	[KOG3209]
Translation, ribosomal structure and biogenesis	Exosomal 3'-5' exoribonuclease complex subunit Rrp40	[KOG1004]
Signal transduction mechanisms	Notch signaling protein Neuralized, Nuez domain	[KOG4625]
Energy production and conversion	Nitroreductases	[KOG3936]
General function prediction only	Uncharacterized conserved protein	[KOG2333]
Signal transduction mechanisms	Ca2+/calmodulin-dependent protein phosphatase (calcineurin subunit B), EF-Hand superfamily protein	[KOG0034]
Lipid transport and metabolism	Lysophosphatidic acid acyltransferase endophilin/SH3GL, involved in synaptic vesicle formation	[KOG1118]
Signal transduction mechanisms	Lysophosphatidic acid acyltransferase endophilin/SH3GL, involved in synaptic vesicle formation	[KOG1118]
RNA processing and modification	Splicing factor 3b, subunit 2	[KOG2330]
Inorganic ion transport and metabolism	ATP sulfurylase (sulfate adenylyltransferase)	[KOG0636]
Signal transduction mechanisms	Traf2- and Nck-interacting kinase and related germinal center kinase (GCK) family protein kinases	[KOG0587]
Function unknown	NIPSNAP1 protein	[KOG2883]
General function prediction only	Myotubularin-related phosphatidylinositol 3-phosphate 3-phosphatase MTM6	[KOG1089]
Function unknown	Uncharacterized conserved protein	[KOG1088]
General function prediction only	Serine/threonine protein kinase	[KOG0586]
General function prediction only	Predicted methyltransferase (contains a SET domain)	[KOG1085]
Transcription	Transcription factor TCF20	[KOG1084]
Intracellular trafficking, secretion, and vesicular transport	Cytosolic sorting protein GGA2/TOM1	[KOG1087]
Intracellular trafficking, secretion, and vesicular transport	Cytosolic sorting protein/ADP-ribosylation factor effector GGA	[KOG1086]
Transcription	Transcription factor NSD1 and related SET domain proteins	[KOG1081]
Chromatin structure and dynamics	Histone H3 (Lys4) methyltransferase complex, subunit SET1 and related methyltransferases	[KOG1080]
Transcription	Histone H3 (Lys4) methyltransferase complex, subunit SET1 and related methyltransferases	[KOG1080]
Transcription	Putative transcription factor ASH1/LIN-59	[KOG1083]
Chromatin structure and dynamics	Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	[KOG1082]
Transcription	Histone H3 (Lys9) methyltransferase SUV39H1/Clr4, required for transcriptional silencing	[KOG1082]
Lipid transport and metabolism	Phospholipase C	[KOG1265]
Lipid transport and metabolism	Phospholipase C	[KOG1264]
Transcription	Mitochondrial transcription termination factor, mTERF	[KOG1267]
General function prediction only	Mitochondrial transcription termination factor, mTERF	[KOG1267]
Signal transduction mechanisms	Protein kinase	[KOG1266]
Energy production and conversion	Malate synthase	[KOG1261]
Energy production and conversion	Isocitrate lyase	[KOG1260]
Secondary metabolites biosynthesis, transport and catabolism	Multicopper oxidases	[KOG1263]
General function prediction only	FAD-binding protein DIMINUTO	[KOG1262]
Replication, recombination and repair	DNA repair protein, member of the recA/RAD51 family	[KOG2859]
Intracellular trafficking, secretion, and vesicular transport	Membrane protein involved in ER to Golgi transport	[KOG2887]
Lipid transport and metabolism	SAM-dependent methyltransferases	[KOG1269]
General function prediction only	SAM-dependent methyltransferases	[KOG1269]
Cell wall/membrane/envelope biogenesis	Glucosamine 6-phosphate synthetases, contain amidotransferase and phosphosugar isomerase domains	[KOG1268]
Lipid transport and metabolism	Lysophosphatidic acid acyltransferase LPAAT and related acyltransferases	[KOG1505]
General function prediction only	Predicted RNA-binding polyribonucleotide nucleotidyltransferase	[KOG1067]
Carbohydrate transport and metabolism	Glucosidase II catalytic (alpha) subunit and related enzymes, glycosyl hydrolase family 31	[KOG1066]
Cell wall/membrane/envelope biogenesis	Glucosidase II catalytic (alpha) subunit and related enzymes, glycosyl hydrolase family 31	[KOG1066]
Posttranslational modification, protein turnover, chaperones	Glucosidase II catalytic (alpha) subunit and related enzymes, glycosyl hydrolase family 31	[KOG1066]
Carbohydrate transport and metabolism	Maltase glucoamylase and related hydrolases, glycosyl hydrolase family 31	[KOG1065]
General function prediction only	RAVE (regulator of V-ATPase assembly) complex subunit RAV1/DMX protein, WD repeat superfamily	[KOG1064]
Chromatin structure and dynamics	RNA polymerase II elongator complex, subunit ELP2, WD repeat superfamily	[KOG1063]
Transcription	RNA polymerase II elongator complex, subunit ELP2, WD repeat superfamily	[KOG1063]
Intracellular trafficking, secretion, and vesicular transport	Vesicle coat complex AP-1, gamma subunit	[KOG1062]
Intracellular trafficking, secretion, and vesicular transport	Vesicle coat complex AP-1/AP-2/AP-4, beta subunit	[KOG1061]
Intracellular trafficking, secretion, and vesicular transport	Vesicle coat complex AP-3, beta subunit	[KOG1060]
Chromatin structure and dynamics	Nucleosome assembly protein NAP-1	[KOG1507]
Cell cycle control, cell division, chromosome partitioning	Nucleosome assembly protein NAP-1	[KOG1507]
Transcription	Transcriptional effector CCR4-related protein	[KOG2338]
Translation, ribosomal structure and biogenesis	Exosomal 3'-5' exoribonuclease complex, subunit Rrp46	[KOG1069]
Translation, ribosomal structure and biogenesis	Exosomal 3'-5' exoribonuclease complex, subunit Rrp41 and related exoribonucleases	[KOG1068]
Cell cycle control, cell division, chromosome partitioning	Protein involved in sister chromatid separation and/or segregation	[KOG4842]
Intracellular trafficking, secretion, and vesicular transport	SNARE protein TLG1/Syntaxin 6	[KOG3202]
General function prediction only	O-acetyltransferase	[KOG1699]
Posttranslational modification, protein turnover, chaperones	Beta-tubulin folding cofactor C	[KOG2512]
General function prediction only	Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily)	[KOG4840]
Posttranslational modification, protein turnover, chaperones	Ubiquitin-conjugating enzyme E2	[KOG0896]
Posttranslational modification, protein turnover, chaperones	Dolichol-phosphate mannosyltransferase, subunit 3	[KOG4841]
Signal transduction mechanisms	Dolichol-phosphate mannosyltransferase, subunit 3	[KOG4841]
Intracellular trafficking, secretion, and vesicular transport	Secretory carrier membrane protein	[KOG3088]
Signal transduction mechanisms	Nuclear receptor	[KOG4846]
Posttranslational modification, protein turnover, chaperones	Alpha-tubulin folding cofactor B	[KOG3206]
General function prediction only	Coiled coil protein involved in linking membrane proteins to cytoskeleton	[KOG4847]
Translation, ribosomal structure and biogenesis	Mitochondrial ribosomal protein S27	[KOG4844]
Energy production and conversion	NADH dehydrogenase, subunit 4	[KOG4845]
RNA processing and modification	RNase MRP and P, subunit POP4/p29	[KOG4046]
Energy production and conversion	Mitochondrial ADP/ATP carrier proteins	[KOG0749]
Cell motility	Dynein light intermediate chain	[KOG3905]
Intracellular trafficking, secretion, and vesicular transport	emp24/gp25L/p24 family of membrane trafficking proteins	[KOG1691]
Intracellular trafficking, secretion, and vesicular transport	Putative cargo transport protein EMP24 (p24 protein family)	[KOG1692]
Intracellular trafficking, secretion, and vesicular transport	emp24/gp25L/p24 family of membrane trafficking proteins	[KOG1693]
Function unknown	Predicted Zn-finger protein	[KOG4367]
RNA processing and modification	Poly(A) ribonuclease subunit	[KOG3741]
Translation, ribosomal structure and biogenesis	Protein involved in the nuclear export of pre-ribosomes	[KOG2153]
Intracellular trafficking, secretion, and vesicular transport	Protein involved in the nuclear export of pre-ribosomes	[KOG2153]
Function unknown	Uncharacterized conserved protein	[KOG4365]
Transcription	Recombination signal binding protein-J kappa(CBF1, Su(H), HS2NF5)	[KOG3743]
Intracellular trafficking, secretion, and vesicular transport	GTPase Rab30, small G protein superfamily	[KOG0095]
Signal transduction mechanisms	Putative growth response protein	[KOG4363]
Intracellular trafficking, secretion, and vesicular transport	Exocyst subunit - Sec10p	[KOG3745]
Signal transduction mechanisms	BCL2-associated athanogene-like proteins and related BAG family chaperone regulators	[KOG4361]
Signal transduction mechanisms	Phosphatidylinositol 4-kinase	[KOG0902]
Nucleotide transport and metabolism	Concentrative Na+-nucleoside cotransporter CNT1/CNT2	[KOG3747]
Inorganic ion transport and metabolism	Concentrative Na+-nucleoside cotransporter CNT1/CNT2	[KOG3747]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar assembly/sorting protein VPS41	[KOG2066]
Posttranslational modification, protein turnover, chaperones	Mitochondrial processing peptidase, alpha subunit	[KOG2067]
Signal transduction mechanisms	Poly(ADP-ribose) glycohydrolase	[KOG2064]
Cytoskeleton	Gamma-tubulin ring complex protein	[KOG2065]
Posttranslational modification, protein turnover, chaperones	26S proteasome regulatory complex, subunit RPN2/PSMD1	[KOG2062]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar assembly/sorting proteins VPS39/VAM6/VPS3	[KOG2063]
Intracellular trafficking, secretion, and vesicular transport	Rab3 effector RIM1 and related proteins, contain PDZ and C2 domains	[KOG2060]
General function prediction only	Uncharacterized MYND Zn-finger protein	[KOG2061]
Posttranslational modification, protein turnover, chaperones	20S proteasome, regulatory subunit beta type PSMB5/PSMB8/PRE2	[KOG0175]
Transcription	MOT2 transcription factor	[KOG2068]
Intracellular trafficking, secretion, and vesicular transport	Golgi transport complex subunit	[KOG2069]
Cell cycle control, cell division, chromosome partitioning	Speckle-type POZ protein SPOP and related proteins with TRAF, MATH and BTB/POZ domains	[KOG1987]
General function prediction only	Speckle-type POZ protein SPOP and related proteins with TRAF, MATH and BTB/POZ domains	[KOG1987]
Inorganic ion transport and metabolism	Na+-bile acid cotransporter	[KOG2718]
General function prediction only	Metalloprotease	[KOG2719]
Replication, recombination and repair	3'-5' exonuclease	[KOG2248]
Replication, recombination and repair	3'-5' exonuclease	[KOG2249]
General function prediction only	SETA binding protein SB1 and related proteins, contain BTB/POZ domain	[KOG2714]
General function prediction only	Uncharacterized conserved protein, contains BTB/POZ domain	[KOG2715]
Inorganic ion transport and metabolism	Polymerase delta-interacting protein PDIP1 and related proteins, contain BTB/POZ domain	[KOG2716]
RNA processing and modification	Poly(A) polymerase and related nucleotidyltransferases	[KOG2245]
RNA processing and modification	Scaffold/matrix specific factor hnRNP-U/SAF-A, contains SPRY domain	[KOG2242]
Energy production and conversion	Glycerol-3-phosphate dehydrogenase/dihydroxyacetone 3-phosphate reductase	[KOG2711]
Transcription	RNA polymerase II general transcription factor BTF3 and related proteins	[KOG2240]
Translation, ribosomal structure and biogenesis	Mitochondrial tryptophanyl-tRNA synthetase	[KOG2713]
Inorganic ion transport and metabolism	Ca2+-modulated nonselective cation channel polycystin	[KOG3599]
Signal transduction mechanisms	Ca2+-modulated nonselective cation channel polycystin	[KOG3599]
Posttranslational modification, protein turnover, chaperones	Disintegrin metalloproteinases with thrombospondin repeats	[KOG3538]
Amino acid transport and metabolism	L-kynurenine hydrolase	[KOG3846]
Function unknown	Uncharacterized conserved protein	[KOG2390]
Posttranslational modification, protein turnover, chaperones	Vacuolar sorting protein/ubiquitin receptor VPS23	[KOG2391]
Intracellular trafficking, secretion, and vesicular transport	Vacuolar sorting protein/ubiquitin receptor VPS23	[KOG2391]
Defense mechanisms	Serpin	[KOG2392]
Intracellular trafficking, secretion, and vesicular transport	Integral membrane protein involved in transport between the late Golgi and endosome	[KOG4697]
General function prediction only	WD40 protein DMR-N9	[KOG2394]
Intracellular trafficking, secretion, and vesicular transport	Protein involved in vacuole import and degradation	[KOG2395]
General function prediction only	HAT (Half-A-TPR) repeat-containing protein	[KOG2396]
Signal transduction mechanisms	Protein kinase C substrate, 80 KD protein, heavy chain	[KOG2397]
